ON,Ontario,Ottawa,45.3999995,-75.6833333
PE,Prince Edward Island,Charlottetown,46.2333328,-63.1166667
AB,Alberta,Edmonton,53.5333328,-113.4833333
NL,Newfoundland and Labrador,Fredericton,45.9499994,-66.6333333
NS,Nova Scotia,Halifax,44.6333328,-63.5666667
NU,Nunavut,Iqaluit,63.7333315,-68.5166667
QC,Quebec,Montreal,45.4999994,-73.55
SK,Saskatchewan,Regina,50.4499994,-104.6
ON,Ontario,Toronto,43.6499994,-79.3666667
BC,British Columbia,Vancouver,49.2333328,-123.1
YT,Yukon Territory,Whitehorse,60.7166662,-135.05
MB,Manitoba,Winnipeg,49.8833328,-97.15
NT,Northwest Territories,Yellowknife,62.4499995,-114.3666667
