AK,Alaska,,61.385,-152.2683
AL,Alabama,,32.799,-86.8073
AR,Arkansas,,34.9513,-92.3809
AS,American Samoa,,14.2417,-170.7197
AZ,Arizona,,33.7712,-111.3877
CA,California,,36.17,-119.7462
CO,Colorado,,39.0646,-105.3272
CT,Connecticut,,41.5834,-72.7622
DE,Delaware,,38.8964,-77.0262
FL,Florida,,27.8333,-81.717
GA,Georgia,,32.9866,-83.6487
HI,Hawaii,,21.1098,-157.5311
IA,Iowa,,42.0046,-93.214
ID,Idaho,,44.2394,-114.5103
IL,Illinois,,40.3363,-89.0022
IN,Indiana,,39.8647,-86.2604
KS,Kansas,,38.5111,-96.8005
KY,Kentucky,,37.669,-84.6514
LA,Louisiana,,31.1801,-91.8749
MA,Massachusetts,,42.2373,-71.5314
MD,Maryland,,39.0724,-76.7902
ME,Maine,,44.6074,-69.3977
MI,Michigan,,43.3504,-84.5603
MN,Minnesota,,45.7326,-93.9196
MO,Missouri,,38.4623,-92.302
MP,Northern Mariana Islands,,14.8058,145.5505
MS,Mississippi,,32.7673,-89.6812
MT,Montana,,46.9048,-110.3261
NC,North Carolina,,35.6411,-79.8431
ND,North Dakota,,47.5362,-99.793
NE,Nebraska,,41.1289,-98.2883
NH,New Hampshire,,43.4108,-71.5653
NJ,New Jersey,,40.314,-74.5089
NM,New Mexico,,34.8375,-106.2371
NV,Nevada,,38.4199,-117.1219
NY,New York,,42.1497,-74.9384
OH,Ohio,,40.3736,-82.7755
OK,Oklahoma,,35.5376,-96.9247
OR,Oregon,,44.5672,-122.1269
PA,Pennsylvania,,40.5773,-77.264
PR,Puerto Rico,,18.2766,-66.335
RI,Rhode Island,,41.6772,-71.5101
SC,South Carolina,,33.8191,-80.9066
SD,South Dakota,,44.2853,-99.4632
TN,Tennessee,,35.7449,-86.7489
TX,Texas,,31.106,-97.6475
UT,Utah,,40.1135,-111.8535
VA,Virginia,,37.768,-78.2057
VI,Virgin Islands,,18.0001,-64.8199
VT,Vermont,,44.0407,-72.7093
WA,Washington,,47.3917,-121.5708
WI,Wisconsin,,44.2563,-89.6385
WV,West Virginia,,38.468,-80.9696
WY,Wyoming,,42.7475,-107.2085
